Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
SRR908442_1	(16.0, 1.0)	(17.0, 4.0)	(18.0, 47.0)	(19.0, 278.0)	(20.0, 852.0)	(21.0, 4390.0)	(22.0, 21363.0)	(23.0, 13555.0)	(24.0, 3811.0)	(25.0, 2070.0)	(26.0, 1694.0)	(27.0, 1617.0)	(28.0, 1711.0)	(29.0, 2015.0)	(30.0, 2328.0)	(31.0, 2657.0)	(32.0, 3023.0)	(33.0, 3768.0)	(34.0, 4752.0)	(35.0, 3558.0)	(36.0, 1127.0)	(37.0, 47.0)						
SRR908442_1_paired	(26.0, 1.0)	(27.0, 1.0)	(28.0, 3.0)	(29.0, 14.0)	(30.0, 42.0)	(31.0, 100.0)	(32.0, 183.0)	(33.0, 391.0)	(34.0, 576.0)	(35.0, 1388.0)	(36.0, 3832.0)	(37.0, 9824.0)	(38.0, 9495.0)															
SRR908442_2	(14.0, 25.0)	(15.0, 166.0)	(16.0, 262.0)	(17.0, 471.0)	(18.0, 635.0)	(19.0, 1005.0)	(20.0, 2689.0)	(21.0, 15230.0)	(22.0, 20571.0)	(23.0, 5940.0)	(24.0, 1600.0)	(25.0, 1441.0)	(26.0, 1716.0)	(27.0, 2010.0)	(28.0, 2500.0)	(29.0, 3016.0)	(30.0, 3403.0)	(31.0, 4015.0)	(32.0, 3651.0)	(33.0, 2861.0)	(34.0, 1289.0)	(35.0, 169.0)	(36.0, 3.0)					
SRR908442_2_paired	(26.0, 2.0)	(27.0, 4.0)	(28.0, 13.0)	(29.0, 29.0)	(30.0, 114.0)	(31.0, 184.0)	(32.0, 353.0)	(33.0, 676.0)	(34.0, 1385.0)	(35.0, 2971.0)	(36.0, 5422.0)	(37.0, 10626.0)	(38.0, 4071.0)															
SRR908443_1	(14.0, 1.0)	(15.0, 2.0)	(16.0, 2.0)	(17.0, 15.0)	(18.0, 150.0)	(19.0, 679.0)	(20.0, 1810.0)	(21.0, 7405.0)	(22.0, 37169.0)	(23.0, 29606.0)	(24.0, 10018.0)	(25.0, 8866.0)	(26.0, 11411.0)	(27.0, 15263.0)	(28.0, 19095.0)	(29.0, 22667.0)	(30.0, 25627.0)	(31.0, 27569.0)	(32.0, 28513.0)	(33.0, 31755.0)	(34.0, 39617.0)	(35.0, 32708.0)	(36.0, 13619.0)	(37.0, 922.0)	(38.0, 2.0)			
SRR908443_1_paired	(26.0, 2.0)	(27.0, 5.0)	(28.0, 31.0)	(29.0, 153.0)	(30.0, 444.0)	(31.0, 933.0)	(32.0, 2009.0)	(33.0, 3486.0)	(34.0, 6046.0)	(35.0, 12112.0)	(36.0, 33140.0)	(37.0, 85797.0)	(38.0, 110296.0)															
SRR908443_2	(12.0, 1.0)	(13.0, 2.0)	(14.0, 58.0)	(15.0, 335.0)	(16.0, 643.0)	(17.0, 1270.0)	(18.0, 1858.0)	(19.0, 2764.0)	(20.0, 5796.0)	(21.0, 29649.0)	(22.0, 42420.0)	(23.0, 14147.0)	(24.0, 10343.0)	(25.0, 14094.0)	(26.0, 18275.0)	(27.0, 22661.0)	(28.0, 26079.0)	(29.0, 29483.0)	(30.0, 32213.0)	(31.0, 36148.0)	(32.0, 34529.0)	(33.0, 26358.0)	(34.0, 13271.0)	(35.0, 2061.0)	(36.0, 33.0)			
SRR908443_2_paired	(25.0, 1.0)	(26.0, 11.0)	(27.0, 40.0)	(28.0, 165.0)	(29.0, 411.0)	(30.0, 947.0)	(31.0, 1984.0)	(32.0, 3572.0)	(33.0, 6333.0)	(34.0, 12138.0)	(35.0, 25759.0)	(36.0, 46764.0)	(37.0, 105232.0)	(38.0, 51097.0)														
SRR908444_1	(16.0, 1.0)	(17.0, 11.0)	(18.0, 65.0)	(19.0, 270.0)	(20.0, 781.0)	(21.0, 1982.0)	(22.0, 7454.0)	(23.0, 7827.0)	(24.0, 6220.0)	(25.0, 9436.0)	(26.0, 15606.0)	(27.0, 23425.0)	(28.0, 32035.0)	(29.0, 37800.0)	(30.0, 42152.0)	(31.0, 44588.0)	(32.0, 46491.0)	(33.0, 52728.0)	(34.0, 67877.0)	(35.0, 53383.0)	(36.0, 16426.0)	(37.0, 944.0)	(38.0, 1.0)					
SRR908444_1_paired	(26.0, 2.0)	(27.0, 14.0)	(28.0, 64.0)	(29.0, 271.0)	(30.0, 746.0)	(31.0, 1634.0)	(32.0, 3151.0)	(33.0, 5364.0)	(34.0, 9196.0)	(35.0, 17166.0)	(36.0, 40303.0)	(37.0, 137585.0)	(38.0, 193819.0)															
SRR908444_2	(13.0, 1.0)	(14.0, 19.0)	(15.0, 203.0)	(16.0, 500.0)	(17.0, 925.0)	(18.0, 1649.0)	(19.0, 2694.0)	(20.0, 3855.0)	(21.0, 8805.0)	(22.0, 12997.0)	(23.0, 10827.0)	(24.0, 14951.0)	(25.0, 21806.0)	(26.0, 29660.0)	(27.0, 37032.0)	(28.0, 41197.0)	(29.0, 45498.0)	(30.0, 50174.0)	(31.0, 60273.0)	(32.0, 61079.0)	(33.0, 42844.0)	(34.0, 18196.0)	(35.0, 2288.0)	(36.0, 30.0)				
SRR908444_2_paired	(25.0, 4.0)	(26.0, 23.0)	(27.0, 72.0)	(28.0, 262.0)	(29.0, 698.0)	(30.0, 1680.0)	(31.0, 3566.0)	(32.0, 6234.0)	(33.0, 10624.0)	(34.0, 16799.0)	(35.0, 30383.0)	(36.0, 63201.0)	(37.0, 177170.0)	(38.0, 98599.0)														
