Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR908438_1	(1.0, 11.21914924506388)	(2.0, 5.647502903600465)	(3.0, 3.667247386759582)	(4.0, 2.217624854819977)	(5.0, 1.479021486643438)	(6.0, 1.0376742160278747)	(7.0, 0.8066565040650406)	(8.0, 0.6141114982578397)	(9.0, 0.5406141114982579)	('>10', 8.379972415795587)	('>50', 4.463741289198606)	('>100', 13.686846689895471)	('>500', 8.228259291521486)	('>1k', 11.614583333333334)	('>5k', 7.666412601626016)	('>10k+', 18.730582171893147)
SRR908438_1_paired	(1.0, 31.127797189800017)	(2.0, 22.03553639134637)	(3.0, 14.31545185169451)	(4.0, 8.007901696103318)	(5.0, 4.545599371262891)	(6.0, 2.7592213005936896)	(7.0, 1.6801724778826854)	(8.0, 1.0535594804422401)	(9.0, 0.8220312881676348)	('>10', 2.8728612848752615)	('>50', 0.49385600645730005)	('>100', 1.2064955340548233)	('>500', 1.368990091018193)	('>1k', 0.0)	('>5k', 7.710526036301071)	('>10k+', 0.0)
SRR908438_2	(1.0, 12.139590592334496)	(2.0, 5.090737514518002)	(3.0, 3.0825348432055746)	(4.0, 1.80821718931475)	(5.0, 1.1532738095238095)	(6.0, 0.7719947735191638)	(7.0, 0.588160569105691)	(8.0, 0.5342624854819977)	(9.0, 0.39198606271777003)	('>10', 6.838160569105691)	('>50', 4.159770615563298)	('>100', 13.19359756097561)	('>500', 7.317799070847851)	('>1k', 14.852097851335655)	('>5k', 7.249745934959349)	('>10k+', 20.82807055749129)
SRR908438_2_paired	(1.0, 37.83999065390783)	(2.0, 21.542742440816934)	(3.0, 12.58854891298576)	(4.0, 6.686704121839056)	(5.0, 3.504784561955033)	(6.0, 1.8989559990229086)	(7.0, 1.1002899412683071)	(8.0, 0.849644742292129)	(9.0, 0.5257176842932549)	('>10', 1.5792771647354948)	('>50', 0.06797157938337033)	('>100', 1.0609938719372962)	('>500', 0.5830687043979735)	('>1k', 0.0)	('>5k', 10.171309621164651)	('>10k+', 0.0)
SRR908439_1	(1.0, 13.556542238549094)	(2.0, 3.8320581982268633)	(3.0, 1.7121039006117758)	(4.0, 1.0656176330214195)	(5.0, 0.8229321840244133)	(6.0, 0.7063621769376509)	(7.0, 0.6398333887739902)	(8.0, 0.5970235598686779)	(9.0, 0.4790072747783579)	('>10', 11.37439798678102)	('>50', 6.557424468131264)	('>100', 19.831942495986578)	('>500', 9.04589040105289)	('>1k', 15.078315953892657)	('>5k', 2.0777229799111985)	('>10k+', 12.62282515945215)
SRR908439_1_paired	(1.0, 51.039053254437874)	(2.0, 13.879289940828402)	(3.0, 3.8485207100591716)	(4.0, 1.2402366863905325)	(5.0, 0.6035502958579883)	(6.0, 0.4118343195266272)	(7.0, 0.31479289940828403)	(8.0, 0.32189349112426036)	(9.0, 0.21301775147928992)	('>10', 5.976331360946745)	('>50', 1.9005917159763315)	('>100', 5.6923076923076925)	('>500', 3.427218934911243)	('>1k', 11.131360946745563)	('>5k', 0.0)	('>10k+', 0.0)
SRR908439_2	(1.0, 13.02084086603127)	(2.0, 3.0591672331255513)	(3.0, 1.293840301982847)	(4.0, 0.8353701748550107)	(5.0, 0.7188001677682484)	(6.0, 0.5675194885960979)	(7.0, 0.5082220904502264)	(8.0, 0.4651230059442026)	(9.0, 0.43214786746308376)	('>10', 9.452873031254068)	('>50', 5.728128660891196)	('>100', 19.062522598093807)	('>500', 10.154896374181046)	('>1k', 13.814847489984524)	('>5k', 3.7802814456994924)	('>10k+', 17.105419203679332)
SRR908439_2_paired	(1.0, 53.320710059171596)	(2.0, 11.777514792899408)	(3.0, 2.868639053254438)	(4.0, 0.7005917159763313)	(5.0, 0.2366863905325444)	(6.0, 0.14201183431952663)	(7.0, 0.06627218934911243)	(8.0, 0.0)	(9.0, 0.08520710059171598)	('>10', 0.5396449704142011)	('>50', 0.2674556213017752)	('>100', 2.6272189349112423)	('>500', 1.7420118343195266)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 25.626035502958576)
SRR908440_1	(1.0, 25.96245772381961)	(2.0, 9.514068073645362)	(3.0, 3.4432599689546346)	(4.0, 1.3857335238545596)	(5.0, 0.7298744821489149)	(6.0, 0.5181080831028918)	(7.0, 0.38498308952784316)	(8.0, 0.28783782394605095)	(9.0, 0.3053136918284898)	('>10', 5.660639205567606)	('>50', 3.1292083431849256)	('>100', 6.465043124273981)	('>500', 3.0079052602362326)	('>1k', 2.334570350648149)	('>5k', 0.0)	('>10k+', 36.870997255260754)
SRR908440_1_paired	(1.0, 43.706839195172876)	(2.0, 16.280083511138642)	(3.0, 5.131117076192443)	(4.0, 1.537155573909652)	(5.0, 0.5850368229059123)	(6.0, 0.19960079840319359)	(7.0, 0.1766581778970794)	(8.0, 0.09177048202445683)	(9.0, 0.05162089613875697)	('>10', 0.5448872370202125)	('>50', 0.30284259068070757)	('>100', 0.16174547456810517)	('>500', 1.747080551540597)	('>1k', 2.0579530593984443)	('>5k', 0.0)	('>10k+', 27.425608553008924)
