Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR908446_1	(1.0, 10.158521827486759)	(2.0, 7.194467433812848)	(3.0, 8.514913018211773)	(4.0, 8.222871538596946)	(5.0, 7.304988831124483)	(6.0, 5.739977326296756)	(7.0, 4.508313354276646)	(8.0, 3.215621699963133)	(9.0, 2.320287737315172)	('>10', 8.79024620331068)	('>50', 1.3577052624326658)	('>100', 3.546535875082156)	('>500', 2.043496470968213)	('>1k', 2.612801612982172)	('>5k', 1.0956116127590922)	('>10k+', 23.373640195380503)
SRR908446_2	(1.0, 14.862084741319276)	(2.0, 7.677421736829147)	(3.0, 8.41600766667026)	(4.0, 7.932734531528481)	(5.0, 6.73698716584806)	(6.0, 5.266869938797463)	(7.0, 3.8452876482377123)	(8.0, 2.822100212847544)	(9.0, 2.053503974202935)	('>10', 7.382150743594883)	('>50', 1.2160315684830343)	('>100', 3.2744151322984756)	('>500', 1.8885727328979802)	('>1k', 2.803691028712135)	('>5k', 0.3701917147628741)	('>10k+', 23.45194946296975)
SRR908447_1	(1.0, 51.28604926056045)	(2.0, 24.176441699457765)	(3.0, 9.641380385316847)	(4.0, 3.249946500005268)	(5.0, 1.1879747245040628)	(6.0, 0.4777574732704226)	(7.0, 0.310362215306703)	(8.0, 0.20441406203498894)	(9.0, 0.15117887966353777)	('>10', 1.7295719642276397)	('>50', 0.5415555942356204)	('>100', 0.5467964548249973)	('>500', 0.284928120709128)	('>1k', 0.7469973293391976)	('>5k', 1.2656678323345385)	('>10k+', 4.1989775042088295)
SRR908447_2	(1.0, 55.711951168915576)	(2.0, 22.223298714740533)	(3.0, 8.450493365170143)	(4.0, 2.8631497943630544)	(5.0, 0.9161913941258673)	(6.0, 0.4490916751307258)	(7.0, 0.2524877471422843)	(8.0, 0.17221966058790925)	(9.0, 0.1501723299648251)	('>10', 1.7169500322094207)	('>50', 0.5568097671609914)	('>100', 0.6127354186021455)	('>500', 0.21304177845864672)	('>1k', 0.19643885068705408)	('>5k', 1.3581194917162789)	('>10k+', 4.156848811024539)
SRR908448_1	(1.0, 49.620221198357704)	(2.0, 16.87041472938813)	(3.0, 5.226963860377885)	(4.0, 1.8243273041564467)	(5.0, 0.8409132425859802)	(6.0, 0.4872771533611041)	(7.0, 0.3786264378761184)	(8.0, 0.31441951192896467)	(9.0, 0.24929862701744224)	('>10', 3.645202686067396)	('>50', 1.518777124906445)	('>100', 3.281680179951138)	('>500', 0.6768127736498741)	('>1k', 0.3377632732049733)	('>5k', 2.217713007083073)	('>10k+', 12.509588890087317)
SRR908448_2	(1.0, 52.76708361482881)	(2.0, 15.49733879083361)	(3.0, 4.564615776478978)	(4.0, 1.6250024146626723)	(5.0, 0.6677132834245678)	(6.0, 0.44623164475822663)	(7.0, 0.3326213775003355)	(8.0, 0.2599587886453977)	(9.0, 0.24244051108529147)	('>10', 3.0804011536498805)	('>50', 1.3109422171274483)	('>100', 3.3923617459483077)	('>500', 0.24877319470287593)	('>1k', 0.0)	('>5k', 2.260032514687077)	('>10k+', 13.304482971666513)
SRR908449_1	(1.0, 6.55561198878341)	(2.0, 2.8310248918831182)	(3.0, 3.1786571105661006)	(4.0, 3.379967694726302)	(5.0, 3.490248602146074)	(6.0, 3.367910091608158)	(7.0, 3.0360817741271706)	(8.0, 2.6356512635433775)	(9.0, 2.2843199228251034)	('>10', 14.133836229553578)	('>50', 2.3611448910282187)	('>100', 6.431781372574301)	('>500', 3.9177053861028766)	('>1k', 7.032939605934681)	('>5k', 1.000336198120863)	('>10k+', 34.36278297647667)
SRR908449_2	(1.0, 9.017569244922573)	(2.0, 3.022671050771999)	(3.0, 3.1959950198534517)	(4.0, 3.340241471568787)	(5.0, 3.3972598892031627)	(6.0, 3.1862995078311465)	(7.0, 2.8003136044516816)	(8.0, 2.4501850038912765)	(9.0, 2.011225131488626)	('>10', 12.084877669726884)	('>50', 2.1735589205390258)	('>100', 5.87258089007354)	('>500', 3.785598384806985)	('>1k', 7.424262312250768)	('>5k', 1.1827275493601381)	('>10k+', 35.054634349259956)
SRR908450_1	(1.0, 23.381356055569842)	(2.0, 12.435766171882202)	(3.0, 6.485251088153802)	(4.0, 3.134659336286836)	(5.0, 1.6352634618090771)	(6.0, 0.9200176627863531)	(7.0, 0.6419743501404774)	(8.0, 0.4735955901263083)	(9.0, 0.3493737959948176)	('>10', 5.872391221012893)	('>50', 2.9536643003061873)	('>100', 5.2901015610215305)	('>500', 1.6590402895920575)	('>1k', 2.804695195625064)	('>5k', 0.0)	('>10k+', 31.962849919692548)
SRR908450_2	(1.0, 25.611525453336764)	(2.0, 11.697228786459824)	(3.0, 5.786503496164167)	(4.0, 2.7328794708927955)	(5.0, 1.2786110450643673)	(6.0, 0.8210284205878213)	(7.0, 0.536676969958706)	(8.0, 0.38819310666090845)	(9.0, 0.2838662092457893)	('>10', 5.106195076740925)	('>50', 2.470363882513356)	('>100', 6.131510119709049)	('>500', 1.846828704939272)	('>1k', 0.5293983492088139)	('>5k', 0.0)	('>10k+', 34.77919090851744)
SRR908451_1	(1.0, 9.032489342690338)	(2.0, 3.345000158932539)	(3.0, 3.3354642066264275)	(4.0, 3.4195218602877033)	(5.0, 3.455016793871561)	(6.0, 3.1087204517922293)	(7.0, 2.713331614507362)	(8.0, 2.3536143025157252)	(9.0, 2.0025499842833376)	('>10', 14.296158423954312)	('>50', 4.214361144173004)	('>100', 11.852305757949276)	('>500', 6.143978752485528)	('>1k', 14.045927971773581)	('>5k', 4.721355941781245)	('>10k+', 11.960203292375828)
SRR908451_2	(1.0, 10.12188359780885)	(2.0, 3.251759736383896)	(3.0, 3.2623552389462422)	(4.0, 3.310741367314287)	(5.0, 3.1424494682823627)	(6.0, 2.912703654388834)	(7.0, 2.451269517798678)	(8.0, 2.143116984943791)	(9.0, 1.7434899466339855)	('>10', 12.24380957762795)	('>50', 3.6109472732474153)	('>100', 11.425483596396116)	('>500', 5.94266420380096)	('>1k', 16.550175002383988)	('>5k', 4.6955735522128705)	('>10k+', 13.191577281829773)
SRR908452_1	(1.0, 19.203952173784877)	(2.0, 14.639849655914416)	(3.0, 13.532898045834617)	(4.0, 10.679935671907833)	(5.0, 7.548592317223019)	(6.0, 5.8245107333459)	(7.0, 3.7577009021485654)	(8.0, 2.5547259887795217)	(9.0, 1.6783474765956727)	('>10', 6.778118803201201)	('>50', 1.6644837336485936)	('>100', 5.994899301653237)	('>500', 1.744346777824346)	('>1k', 1.3476170511814898)	('>5k', 0.0)	('>10k+', 3.0500213669567)
SRR908452_2	(1.0, 23.491684029897684)	(2.0, 14.726745144011987)	(3.0, 12.729603014697641)	(4.0, 9.925768218297838)	(5.0, 7.125525013037082)	(6.0, 4.926581286204663)	(7.0, 3.1873962867726786)	(8.0, 2.1317597728691737)	(9.0, 1.3848545689777365)	('>10', 5.968426830207737)	('>50', 1.7614758206600967)	('>100', 6.020751423632713)	('>500', 1.5472306006877066)	('>1k', 1.850168734304581)	('>5k', 0.0)	('>10k+', 3.2220292557406935)
SRR908453_1	(1.0, 18.828939958703174)	(2.0, 12.639332099791728)	(3.0, 10.101633101820815)	(4.0, 7.163480017519866)	(5.0, 4.6280156963699906)	(6.0, 3.094580461773618)	(7.0, 1.9615993135072805)	(8.0, 1.2442680539540372)	(9.0, 0.9412458770212653)	('>10', 10.37202899716643)	('>50', 5.065565417929259)	('>100', 13.02146183618925)	('>500', 3.972808452441608)	('>1k', 2.728093463123363)	('>5k', 4.236947252688316)	('>10k+', 0.0)
SRR908453_2	(1.0, 23.371591000509508)	(2.0, 12.36759539835349)	(3.0, 8.878817945348743)	(4.0, 5.9656932414434225)	(5.0, 3.5732482368399885)	(6.0, 2.2498726234212008)	(7.0, 1.4453889678474698)	(8.0, 0.9332010404655278)	(9.0, 0.559116140623743)	('>10', 9.170666738176326)	('>50', 4.862656762578996)	('>100', 14.250087152396022)	('>500', 3.670680146237251)	('>1k', 3.9973898974730275)	('>5k', 0.0)	('>10k+', 4.703994708285288)
